,nome,cpf,idade,data,endereco,estado,pais,nivel_educacao,salario,numero_filhos,estado_civil,area_atuacao
20,Dr. Ravi Lucca Vargas,687.213.590-59,22,01/08/2002,"Trecho Pedro Lucas Oliveira, 74
Taquaril
64626-468 Cunha de Sampaio / TO",Paraná,Brasil,Ensino Superior,22757,2,Solteiro(a),Tecnologia
21,Maria Julia Camargo,691.742.083-22,48,23/03/1976,"Favela Lara Fogaça, 42
Vila São Gabriel Jacui
97112-453 Aragão do Oeste / TO",Sergipe,Brasil,Ensino Fundamental,24416,4,Divorciado(a),Tecnologia
22,Kevin Rodrigues,537.649.120-06,24,16/05/2000,"Trecho Sales, 49
Nova Cintra
30205085 Castro / MS",Goiás,Brasil,Doutorado,12117,3,Viúvo(a),Engenharia
23,Giovanna Almeida,724.139.860-22,47,28/09/1976,"Praia Rafaela Cavalcante, 13
Camponesa 1ª Seção
28139018 da Rosa / ES",Amazonas,Brasil,Doutorado,20730,4,Viúvo(a),Marketing
24,Bryan Jesus,035.298.741-32,54,19/02/1970,"Via Aurora da Rosa, 1
São Bento
69985-729 Ribeiro / SE",Paraíba,Brasil,Mestrado,10968,2,Divorciado(a),Saúde
25,Ana Luiza Melo,514.698.270-85,41,03/02/1983,"Condomínio Albuquerque, 52
São Francisco Das Chagas
38258423 Cirino / RJ",Tocantins,Brasil,Doutorado,19038,2,Casado(a),Tecnologia
26,Cauã Vargas,237.594.016-43,50,20/07/1974,"Condomínio de Rodrigues, 998
Paquetá
15483331 Silveira Alegre / DF",Pará,Brasil,Pós-Graduação,21976,1,Viúvo(a),
27,Sr. Davi Lucca Carvalho,058.431.972-04,21,08/12/2002,"Vila Rodrigo Lima, 5
São Vicente
70016-582 Monteiro do Norte / MT",Amapá,Brasil,Pós-Graduação,14291,1,Solteiro(a),Tecnologia
28,Pedro Melo,694.280.735-47,35,14/02/1989,"Alameda Ana Julia da Mata, 78
Luxemburgo
01932548 Aragão / PE",Amazonas,Brasil,Ensino Superior,4405,3,Casado(a),Educação
29,Davi Miguel Silveira,987.025.461-67,57,16/06/1967,"Rodovia Barros, 6
Jardim Atlântico
70383020 Correia do Oeste / MS",Tocantins,Brasil,Doutorado,26150,1,Viúvo(a),Marketing
30,Vitor Gabriel Gonçalves,510.632.749-07,50,28/12/1973,"Vale de da Mata, 37
Mariano De Abreu
15045-690 Sousa / BA",Amapá,Brasil,Ensino Superior,11039,2,Solteiro(a),Tecnologia
31,Heloisa Nascimento,768.024.935-00,44,09/02/1980,"Condomínio de Gomes, 4
Satelite
03499-807 Cavalcante / RR",Rio de Janeiro,Brasil,Pós-Graduação,9257,2,Divorciado(a),Tecnologia
32,Dom Moura,815.624.039-15,28,12/07/1996,"Vila Araújo, 22
Aarão Reis
91060725 Fernandes / RJ",Piauí,Brasil,Doutorado,6968,0,,Educação
33,Mateus Dias,672.481.903-22,51,29/09/1972,"Lagoa Dias
São Marcos
53422482 Freitas de Aparecida / PA",Ceará,Brasil,Pós-Graduação,17391,2,Viúvo(a),
34,Isaque da Mota,815.026.943-60,40,27/01/1984,"Aeroporto de Sales, 81
Mangabeiras
20155730 Brito / RS",Tocantins,Brasil,Ensino Superior,19119,4,Viúvo(a),Saúde
35,Matheus Aragão,537.298.104-05,57,02/03/1967,"Pátio de Vargas
Novo Ouro Preto
76118654 Santos / RR",Sergipe,Brasil,Pós-Graduação,1976,2,Viúvo(a),Marketing
36,Thomas da Cunha,769.025.481-02,24,15/06/2000,"Núcleo Guerra, 25
Nova Floresta
22268031 Borges / RS",Santa Catarina,Brasil,Pós-Graduação,15960,4,Casado(a),
37,Sra. Maria Sophia Aragão,108.436.295-33,32,10/12/1991,"Praia Lorena Aragão, 662
Bonsucesso
30023552 Gomes / AP",Paraíba,Brasil,Pós-Graduação,10150,4,Casado(a),Engenharia
38,Sr. Alexandre Fernandes,512.837.604-44,20,11/06/2004,"Passarela de da Rocha, 209
Milionario
11004-359 Mendonça de Costa / RO",Pernambuco,Brasil,Pós-Graduação,25177,4,Casado(a),Engenharia
39,Antônio Carvalho,021.394.758-79,23,24/11/2000,"Colônia de Costela, 686
Ermelinda
19084308 Gonçalves / DF",Pernambuco,Brasil,Ensino Fundamental,27167,1,Casado(a),Marketing
40,Pietra Gomes,513.980.246-51,22,01/08/2002,"Rua de Carvalho, 9
São Jorge 2ª Seção
54127954 Abreu / RN",Alagoas,Brasil,Ensino Médio,5086,3,Divorciado(a),Saúde
41,Paulo Gonçalves,723.514.908-60,53,20/02/1971,"Sítio de Andrade, 31
Marieta 2ª Seção
76979-903 Pinto / RJ",Goiás,Brasil,Doutorado,12690,2,,Marketing
42,Thales Castro,057.641.329-16,22,13/07/2002,"Colônia Bruna Aparecida, 917
Flavio De Oliveira
73439-578 Vasconcelos / SE",Rio de Janeiro,Brasil,Ensino Médio,28190,4,Solteiro(a),Marketing
43,Natália Duarte,,37,23/02/1987,"Jardim Kaique Pimenta
Alípio De Melo
33678746 Costela da Mata / MA",Paraíba,Brasil,Ensino Médio,13675,2,Viúvo(a),Engenharia
44,Enrico Fernandes,792.851.064-20,25,03/12/1998,"Jardim de da Mota, 88
Vitoria Da Conquista
14548-306 Teixeira / RN",Mato Grosso,Brasil,Ensino Superior,7629,0,,Administração
45,Luiz Otávio Rocha,231.576.089-59,56,03/07/1968,"Viaduto de da Cruz, 54
Colégio Batista
04920-206 Castro / RR",Rio Grande do Sul,Brasil,Ensino Médio,17122,4,Solteiro(a),Educação
46,Larissa Novaes,972.560.143-25,38,23/01/1986,"Ladeira Peixoto, 92
Nova Cintra
55237-528 Caldeira / SC",Santa Catarina,Brasil,Doutorado,6172,4,Solteiro(a),
47,Sr. Arthur Miguel da Conceição,928.461.357-46,35,24/07/1989,"Trevo de das Neves, 5
Nova Esperança
34545192 Araújo / MA",São Paulo,Brasil,Ensino Fundamental,23660,3,,Tecnologia
48,Dr. Pedro Miguel Fonseca,705.314.689-84,21,01/02/2003,"Estação Moreira, 7
Jonas Veiga
15753-351 Fogaça do Norte / SC",Paraíba,Brasil,Ensino Superior,6308,4,Divorciado(a),Tecnologia
49,Théo Fonseca,579.683.041-48,44,16/09/1979,"Sítio de Vargas
São Damião
59387-413 Ferreira do Campo / RN",Espírito Santo,Brasil,Ensino Superior,23382,1,Casado(a),Administração
50,Vitor Barros,560.932.471-80,45,28/07/1979,"Setor de Fernandes, 87
Lagoinha Leblon
10025-508 Sousa / MA",Amazonas,Brasil,Mestrado,1818,1,Solteiro(a),Educação
51,Ana Cecília Pereira,029.578.641-85,41,26/04/1983,"Rua Giovanna Pereira, 69
Lourdes
76799-754 Pastor / PR",Rio Grande do Sul,Brasil,Ensino Superior,23335,1,Solteiro(a),Engenharia
52,Luigi Moura,475.106.298-02,33,10/07/1991,"Recanto de Freitas, 65
Das Industrias I
12562368 Rezende de Caldeira / RO",Minas Gerais,Brasil,Mestrado,14331,2,,Administração
53,Sr. Breno Pinto,579.036.124-25,57,26/09/1966,"Núcleo Rocha, 56
Xodo-Marize
17329-098 Cardoso / PB",Espírito Santo,Brasil,Mestrado,7407,4,Divorciado(a),Saúde
54,Vitor Hugo Alves,619.032.584-05,21,25/02/2003,"Praia Maria Sophia Vasconcelos, 92
Vila Santa Rosa
52371108 Freitas de da Cunha / PE",Santa Catarina,Brasil,Pós-Graduação,23588,4,,
55,Sra. Milena Monteiro,971.504.682-76,23,25/05/2001,"Conjunto de Aragão, 5
Senhor Dos Passos
07379225 Casa Grande / MA",Espírito Santo,Brasil,Doutorado,28915,3,Divorciado(a),Marketing
56,Jade Mendonça,749.528.163-46,40,13/11/1983,"Chácara de Sales, 3
João Paulo Ii
45641766 Barbosa de Minas / RJ",Mato Grosso do Sul,Brasil,Ensino Médio,21322,4,Casado(a),Administração
57,Agatha da Conceição,106.753.294-34,35,21/05/1989,"Viela Vitor Gabriel Carvalho, 43
Vila Rica
23044401 da Rocha / AP",Paraíba,Brasil,Mestrado,9580,0,,Saúde
58,Samuel Marques,521.863.079-95,57,20/08/1967,"Distrito de Fernandes, 42
Vila Canto Do Sabiá
43302-017 Fernandes do Oeste / CE",Paraná,Brasil,Ensino Médio,25208,2,Solteiro(a),Administração
59,Jade Peixoto,096.825.137-40,38,04/08/1986,"Feira Mendonça, 1
Vila Aeroporto
68867846 Farias Verde / SC",Minas Gerais,Brasil,Mestrado,23080,0,Casado(a),
60,Rafaela Oliveira,923.875.416-00,28,11/06/1996,"Núcleo de Fernandes, 47
Fernão Dias
44107-860 Gonçalves / SE",Paraná,Brasil,Mestrado,10754,3,,
61,Ana Vitória Pacheco,350.126.984-60,24,07/02/2000,"Rua Silveira, 65
Rio Branco
70309-496 Duarte das Flores / CE",Acre,Brasil,Doutorado,16557,0,Viúvo(a),Engenharia
62,Helena Melo,756.204.893-29,33,19/11/1990,"Vale Mateus Martins, 791
Vila Santo Antônio Barroquinha
79179-718 Melo / AM",Bahia,Brasil,Doutorado,1769,4,Casado(a),Engenharia
63,Bruna Campos,406.817.235-80,55,06/03/1969,"Viela Cardoso, 23
Itaipu
40173-387 Abreu dos Dourados / GO",Mato Grosso do Sul,Brasil,Pós-Graduação,7494,0,Casado(a),Engenharia
64,Milena Sousa,987.560.324-47,45,30/06/1979,"Jardim de Campos, 7
Marçola
01996-112 Machado de Sampaio / DF",Bahia,Brasil,Ensino Fundamental,15796,4,Viúvo(a),Educação
65,Ravi Lucca Cirino,734.182.905-23,39,06/01/1985,"Favela de Costela, 2
Marçola
18580-765 das Neves / MA",Maranhão,Brasil,Ensino Médio,13569,4,Solteiro(a),Marketing
66,Maria Luiza Borges,475.361.980-00,29,07/05/1995,"Lago Silva, 63
Vila Ecológica
15899845 Mendes / MG",São Paulo,Brasil,Ensino Médio,26635,3,Solteiro(a),Engenharia
67,Ravy Castro,145.798.063-01,21,10/07/2003,"Colônia Montenegro, 36
Capitão Eduardo
91974-399 Camargo Paulista / AP",Amazonas,Brasil,Mestrado,24573,0,Viúvo(a),Saúde
68,Luiz Miguel Nunes,642.908.537-65,44,26/10/1979,"Lagoa de Martins, 954
Vila São Gabriel
16205525 Moura / CE",Tocantins,Brasil,Mestrado,11089,1,Casado(a),Saúde
69,Sra. Ana Carolina Garcia,426.810.359-70,22,28/12/2001,"Pátio de Novaes, 28
Jardim Montanhês
86825039 Moura / BA",Maranhão,Brasil,Ensino Superior,10086,4,Viúvo(a),Saúde
70,Dr. Dom Pastor,325.180.476-62,36,12/01/1988,"Largo de Rocha, 4
Palmares
63108-261 Vieira / SE",Rio Grande do Norte,Brasil,Ensino Médio,19511,0,Solteiro(a),Marketing
71,Lavínia da Costa,029.436.785-38,34,11/09/1989,"Avenida de Jesus, 26
Vila Sesc
97276041 Cavalcante / RN",Rio Grande do Norte,Brasil,Mestrado,19633,4,Solteiro(a),Marketing
72,Pedro Miguel Lima,726.315.804-35,59,20/02/1965,"Favela de das Neves, 662
Comiteco
92905349 Brito do Norte / MS",Ceará,Brasil,Ensino Médio,28394,2,Divorciado(a),Administração
73,Dra. Luana Monteiro,459.628.170-01,37,20/08/1987,,,Brasil,Doutorado,21560,4,Divorciado(a),Engenharia
74,Igor Jesus,458.709.136-75,45,10/10/1978,"Vereda Calebe Cavalcanti, 12
Santa Cecilia
67708-956 Sousa dos Dourados / SE",Rondônia,Brasil,Pós-Graduação,25180,2,Viúvo(a),Saúde
75,Isabel Nascimento,598.704.213-50,52,18/05/1972,"Condomínio de da Cunha, 9
Petropolis
96132896 Marques / MT",Rondônia,Brasil,Mestrado,16747,0,Solteiro(a),Saúde
76,Arthur Moraes,712.603.954-99,57,14/03/1967,"Conjunto Sampaio, 494
Providencia
59704-663 Garcia Alegre / MA",Amapá,Brasil,Mestrado,7550,0,Divorciado(a),Educação
77,Arthur Miguel Mendes,187.345.209-88,47,16/01/1977,"Lago de Farias, 6
Inconfidência
20580106 Dias do Oeste / MS",Rio de Janeiro,Brasil,Ensino Fundamental,18775,2,Divorciado(a),Administração
78,Anthony Jesus,489.372.015-50,33,18/02/1991,"Avenida Santos, 14
Caiçara - Adelaide
18263717 Peixoto / AP",Rio de Janeiro,Brasil,Mestrado,7261,0,,Marketing
79,Fernanda Nascimento,279.603.851-30,50,19/03/1974,"Ladeira de Pacheco
São Sebastião
88197809 Marques / CE",Paraná,Brasil,Ensino Superior,17497,0,Casado(a),Tecnologia
80,Maria Luísa Vieira,183.905.724-60,38,23/05/1986,"Esplanada Araújo, 4
Ouro Preto
22868-934 da Costa do Galho / RJ",Amazonas,Brasil,Ensino Médio,2066,1,Solteiro(a),Engenharia
81,Alícia Casa Grande,640.512.789-30,27,08/07/1997,"Sítio Enzo Gabriel Oliveira, 8
Santa Efigênia
63858116 Nunes / DF",São Paulo,Brasil,Mestrado,17950,4,Casado(a),Marketing
82,Valentina Fonseca,207.391.486-13,44,17/02/1980,"Setor Araújo
Conjunto Taquaril
49931274 Teixeira / RR",Piauí,Brasil,Ensino Fundamental,14681,3,Casado(a),Marketing
83,Emilly Novaes,520.146.978-76,51,29/01/1973,"Vila de Machado, 37
Vila Da Amizade
58702-793 Pereira / GO",Bahia,Brasil,Ensino Superior,4006,3,Casado(a),
84,Isabelly Vargas,541.079.628-49,21,21/10/2002,"Estrada Ester Porto, 755
Conjunto São Francisco De Assis
84305-620 da Conceição da Mata / AP",Rondônia,Brasil,Doutorado,29662,3,,
85,Emanuelly Pinto,873.561.240-17,56,08/06/1968,"Distrito Rodrigues, 245
Vila Sumaré
42208-876 Pereira / RN",Ceará,Brasil,Doutorado,11342,0,Viúvo(a),Saúde
86,Apollo da Cunha,,47,10/12/1976,"Setor de Carvalho, 61
Fernão Dias
28359-265 Cunha / AL",Piauí,Brasil,Ensino Médio,21965,2,Casado(a),
87,Larissa Cassiano,762.385.091-12,18,15/07/2006,"Rodovia de Carvalho
Santa Branca
31145-700 Andrade / RR",Distrito Federal,Brasil,Ensino Superior,23912,0,Solteiro(a),Saúde
88,Maya Porto,856.071.234-80,20,12/04/2004,"Viaduto de Lima, 717
Vila Sumaré
24791-008 Silveira de Fonseca / PB",Rio de Janeiro,Brasil,Ensino Superior,25786,2,Casado(a),Tecnologia
89,Thiago Ribeiro,804.325.971-23,46,05/03/1978,"Passarela Alice Macedo, 27
Boa União 2ª Seção
96435-691 Novais do Oeste / RN",Rondônia,Brasil,Pós-Graduação,27302,0,Divorciado(a),Tecnologia
90,Srta. Antonella Rocha,420.981.357-50,50,03/12/1973,"Jardim de Cassiano, 61
Monsenhor Messias
94269164 Barbosa / AC",Minas Gerais,Brasil,Doutorado,29295,1,Viúvo(a),Marketing
91,Ana Julia Costa,637.042.185-53,52,11/12/1971,"Travessa Fernandes, 87
Vila Puc
91430905 Monteiro de Moreira / AP",Acre,Brasil,Mestrado,3071,2,Casado(a),
92,Sra. Ana Beatriz da Paz,815.349.607-75,52,09/08/1972,"Quadra de Dias, 63
Santa Efigênia
81210-169 Cavalcante / MG",Amazonas,Brasil,Ensino Médio,5474,2,Viúvo(a),
93,Nathan Brito,530.714.628-08,48,19/10/1975,"Travessa Ana Lívia Pires, 58
Urca
11546-327 Mendonça do Norte / AL",Paraná,Brasil,Pós-Graduação,23284,3,Casado(a),Marketing
94,Dr. André Montenegro,906.175.342-25,21,14/08/2003,"Trevo Ana Lívia Novaes, 40
Nova Gameleira
70136-211 Duarte / RR",Minas Gerais,Brasil,Doutorado,3827,2,Casado(a),Tecnologia
95,Dr. Lucca Fonseca,519.238.074-04,58,15/07/1966,"Setor Abreu, 84
Ambrosina
05059-258 Pacheco / SC",Rio de Janeiro,Brasil,Ensino Fundamental,4615,0,,Administração
96,Davi Miguel Jesus,437.815.920-14,45,20/03/1979,"Favela de Oliveira, 88
Ambrosina
39834-464 das Neves das Flores / BA",Mato Grosso do Sul,Brasil,Pós-Graduação,9759,1,Casado(a),Educação
97,Rafaela Sá,134.296.857-37,25,12/12/1998,"Chácara de Ramos, 37
Conjunto Paulo Vi
56754131 Azevedo da Praia / SE",Bahia,Brasil,Doutorado,25749,3,Casado(a),Administração
98,José Miguel Mendes,751.302.694-70,28,17/03/1996,"Setor de Monteiro, 87
Cidade Jardim
93007713 da Rocha das Flores / PB",Goiás,Brasil,Ensino Fundamental,1609,1,Casado(a),Tecnologia
99,Vitor Hugo Rios,908.625.341-51,55,05/04/1969,"Jardim Cavalcante, 557
Calafate
34863904 Campos da Serra / RO",Paraíba,Brasil,Pós-Graduação,26525,0,,Administração
100,Marcos Vinicius Vieira,543.218.067-71,59,09/05/1965,"Trevo Lucas Camargo, 87
Vila Nova Cachoeirinha 3ª Seção
25155-518 Teixeira Verde / PA",Paraná,Brasil,Ensino Fundamental,12974,4,Casado(a),Saúde
101,Vitor Hugo Pacheco,614.852.039-70,50,08/01/1974,"Loteamento Gomes
Luxemburgo
71924-150 da Conceição do Norte / RN",Rondônia,Brasil,Pós-Graduação,9893,4,Casado(a),
102,Dra. Sabrina Câmara,693.752.180-40,34,09/12/1989,"Chácara de Albuquerque
São Francisco
37109-602 Aparecida / RJ",Distrito Federal,Brasil,Ensino Fundamental,29524,1,Viúvo(a),Marketing
103,Otávio Siqueira,732.581.096-21,23,16/05/2001,"Chácara de Sampaio, 77
Guaratã
95261015 Sá / DF",Rio Grande do Sul,Brasil,Pós-Graduação,9973,4,Viúvo(a),Marketing
104,Ayla Casa Grande,643.908.175-66,27,21/09/1996,"Esplanada de Nogueira, 35
Vila União
26596-376 Barbosa / SP",Tocantins,Brasil,Ensino Fundamental,13633,3,Casado(a),Marketing
105,Sr. Lucas Gabriel Freitas,364.971.028-50,43,04/09/1980,"Alameda de da Conceição, 470
Boa Vista
21818-804 Pastor / RJ",Espírito Santo,Brasil,Pós-Graduação,18548,2,Divorciado(a),Educação
106,Davi Luiz Martins,461.257.890-20,41,28/02/1983,"Conjunto de Silva, 70
Cruzeiro
40399-593 Brito / AL",Bahia,Brasil,Doutorado,15121,2,Viúvo(a),Educação
107,Luísa Jesus,706.814.593-01,34,12/08/1990,"Aeroporto de Câmara, 975
Estrela
89454-042 da Rocha do Galho / MT",Rio Grande do Sul,Brasil,Pós-Graduação,21707,3,,
108,Allana Montenegro,240.813.697-04,47,26/03/1977,"Avenida de Costela, 1
Vila União
95781-342 Nogueira / ES",Tocantins,Brasil,Ensino Superior,26556,0,Solteiro(a),Marketing
109,Sophia Alves,324.975.861-28,59,05/04/1965,"Quadra Carvalho, 597
Bacurau
03602-252 Nascimento / RN",Rio Grande do Norte,Brasil,Ensino Médio,19085,2,Viúvo(a),Administração
110,Hadassa Pires,461.293.875-55,47,22/02/1977,"Vila Fernando Pacheco, 99
São João
05289-172 Pereira de Vieira / MA",Rio Grande do Norte,Brasil,Pós-Graduação,8381,4,Viúvo(a),Marketing
111,Gabriela Oliveira,182.347.506-07,35,19/07/1989,"Fazenda de Caldeira
Vila Nova Gameleira 3ª Seção
82337810 Barros / SE",Rio Grande do Norte,Brasil,Ensino Médio,7194,2,,Marketing
112,Dante Vieira,651.983.042-98,20,07/04/2004,"Vale Vieira, 25
Paulo Vi
18358048 Mendonça da Prata / ES",Tocantins,Brasil,Ensino Superior,29269,4,Casado(a),
113,Emanuel Alves,375.690.421-07,58,12/10/1965,"Sítio Benjamim Mendes
Flavio De Oliveira
78436-412 Sales / PE",Acre,Brasil,Doutorado,20954,1,Viúvo(a),Saúde
114,Luiz Fernando Machado,943.618.027-69,58,16/01/1966,"Recanto Emanuella Carvalho, 76
Vila Inestan
74780-355 Jesus / MS",Paraná,Brasil,Pós-Graduação,3122,4,,
115,Carlos Eduardo Campos,014.892.735-14,54,22/05/1970,"Rodovia de Campos, 81
Custodinha
70011-956 Jesus / GO",Tocantins,Brasil,Doutorado,16275,3,,Engenharia
116,Lucca Cavalcante,520.386.749-65,40,03/04/1984,"Estação Cavalcante, 8
Vila Cemig
31513361 da Rocha / AP",Minas Gerais,Brasil,Mestrado,22631,2,,Saúde
117,Bella Moura,258.317.406-17,28,14/04/1996,"Setor Ana Julia da Luz, 3
Pirineus
18020-793 Correia do Galho / PR",Mato Grosso do Sul,Brasil,Mestrado,28433,1,,Engenharia
118,Evelyn Mendes,602.437.598-00,32,18/01/1992,"Residencial de Jesus, 8
Coração De Jesus
09808004 Farias Verde / PE",Mato Grosso do Sul,Brasil,Pós-Graduação,24688,2,Solteiro(a),Saúde
119,Ayla Mendes,789.426.315-09,56,28/02/1968,"Estrada de Vieira, 6
Grota
02775382 Borges das Flores / AM",Piauí,Brasil,Mestrado,20773,1,Divorciado(a),Administração
120,Ravy Pacheco,785.296.314-55,50,06/05/1974,"Ladeira de Novaes, 813
Guaratã
90967287 Silveira / RN",Sergipe,Brasil,Ensino Médio,14821,2,Solteiro(a),Marketing
121,Dr. Leonardo Oliveira,296.417.850-01,45,21/07/1979,"Morro de Melo, 513
Vila Primeiro De Maio
59425-273 Siqueira / AC",Roraima,Brasil,Mestrado,12339,4,Solteiro(a),
122,Sr. Calebe Cunha,982.150.637-21,46,08/09/1977,"Passarela de Cavalcante, 69
São Sebastião
26124876 Pacheco / PR",Roraima,Brasil,Ensino Médio,23093,0,Viúvo(a),
123,Bárbara Sales,967.130.254-80,57,13/02/1967,"Viela Rafael Martins, 711
Vila Mantiqueira
41249174 Caldeira / PA",Acre,Brasil,Mestrado,10401,3,Viúvo(a),Tecnologia
124,Otto Sousa,615.430.798-57,42,24/04/1982,"Ladeira de Lopes, 37
Nossa Senhora De Fátima
74757297 da Costa da Prata / PA",Rio Grande do Sul,Brasil,Pós-Graduação,4965,1,Casado(a),Administração
125,Luana Costela,160.295.437-25,36,04/01/1988,"Lagoa Laís Mendonça
Bacurau
80997242 Rocha / ES",Maranhão,Brasil,Ensino Superior,15717,1,Divorciado(a),Educação
126,Luigi Lopes,106.748.395-01,57,19/10/1966,"Aeroporto Danilo Fonseca
Betânia
92682-629 Moreira / CE",Rio Grande do Sul,Brasil,Pós-Graduação,9544,4,,Administração
127,Hadassa Araújo,351.748.260-90,23,13/12/2000,"Favela Casa Grande, 63
Prado
77619-301 Rezende Paulista / PA",Minas Gerais,Brasil,Ensino Fundamental,18396,2,Solteiro(a),Engenharia
128,Davi Lucas Pinto,487.123.965-91,50,25/07/1974,"Alameda Moraes, 8
Vila Real 1ª Seção
14372-679 Costela da Mata / AC",Acre,Brasil,Mestrado,9144,2,,
129,Anna Liz Ramos,,57,26/01/1967,"Vale Garcia, 44
Dom Cabral
17116440 Azevedo do Norte / BA",Amapá,Brasil,Ensino Fundamental,25680,1,Divorciado(a),Tecnologia
130,Evelyn Carvalho,901.326.548-06,47,02/11/1976,"Esplanada Rodrigo Marques, 9
Flamengo
15194-637 Pinto / RO",Rondônia,Brasil,Ensino Superior,22559,2,,Tecnologia
131,Esther Barros,476.532.890-29,50,19/05/1974,"Rua Araújo, 44
São Bernardo
47737198 Martins / ES",Maranhão,Brasil,Mestrado,10792,4,Casado(a),Tecnologia
132,Henry Gabriel Abreu,659.107.238-12,35,14/12/1988,"Lago Moreira, 15
Vila Antena Montanhês
19417461 Viana do Amparo / BA",Maranhão,Brasil,Mestrado,6612,0,Divorciado(a),Educação
133,Laura Cavalcante,562.139.074-16,37,13/07/1987,"Trevo Ferreira, 92
Estoril
20256066 Vieira do Sul / PE",Rio Grande do Sul,Brasil,Ensino Médio,18903,4,,
134,Gustavo Cassiano,963.784.150-48,19,21/05/2005,"Parque Luara Cardoso, 64
Conjunto Celso Machado
02742164 Carvalho Paulista / PA",Goiás,Brasil,Ensino Médio,28916,4,Casado(a),Administração
135,José Campos,208.167.493-96,25,20/09/1998,"Lago da Rocha, 1
São Salvador
49567-593 Montenegro / RR",Ceará,Brasil,Pós-Graduação,13443,2,Divorciado(a),Administração
